1,基幹科目,1,1,
2,キリスト教学科,1,1,aa
3,文学科英米文学専修,1,1,am
4,文学科ドイツ文学専修,1,1,an
5,文学科フランス文学専修,1,1,as
6,文学科日本文学専修,1,1,at
7,文学科文芸・思想専修,1,1,au
8,史学科,1,1,ac
9,教育学科,1,1,ae
10,異文化コミュニケーション学科,7,1,dm
11,経済学科・経済政策学科・会計ファイナンス学科,2,1,ba
12,経済政策学科,2,0,bd
13,会計ファイナンス学科,2,0,bc
14,経営学科,3,1,bm
15,国際経営学科,3,1,bn
16,数学科,4,1,ca
17,物理学科,4,1,cb
18,化学科,4,1,cc
19,生命理学科,4,1,cd
20,共通科目、社会学科・現代文化学科・メディア社会学科,5,1,da
21,現代文化学科,5,0,dd
22,メディア社会学科,5,0,de
23,法学科・国際ビジネス法学科・政治学科,6,1,ea
24,国際ビジネス法学科,6,0,ed
25,政治学科,6,0,ec
26,観光学科,8,1,ha
27,交流文化学科,8,1,hb
28,福祉学科,9,1,ib
29,コミュニティ政策学科,9,1,ic
30,スポーツウェルネス学科,9,1,id
31,心理学科,10,1,hm
32,映像身体学科,10,1,hn
33,総合系科目(2016~),11,1,
34,総合系科目(~2015),11,1,
35,言語系/言語教育科目,11,1,
36,GLAP,12,1,aw
